GlassID1,ScanDateTimeGlasses,ScanDateTimeFurnace,ZN01_TOP_Temp,ZN01_BOTTOM_TEMP,ZN02_TOP_Temp,ZN02_BOTTOM_TEMP,ZN03_TOP_Temp,ZN03_BOTTOM_TEMP,ZN04_TOP_Temp,ZN04_BOTTOM_TEMP,ZN05_TOP_Temp,ZN05_BOTTOM_TEMP,ZN06_TOP_Temp,ZN06_BOTTOM_TEMP,ZN07_TOP_Temp,ZN07_BOTTOM_TEMP,ZN08_TOP_Temp,ZN08_BOTTOM_TEMP,ZN09_E01_TEMP,ZN09_E02_TEMP,ZN09_E03_TEMP,ZN09_E04_TEMP,ZN09_E05_TEMP,ZN09_E06_TEMP,ZN09_E07_TEMP,ZN09_E08_TEMP,ZN09_E09_TEMP,ZN09_E10_TEMP,ZN09_E11_TEMP,ZN09_E12_TEMP,ZN09_BOTTOM_TEMP,ZN10_E01_TEMP,ZN10_E02_TEMP,ZN10_E03_TEMP,ZN10_E04_TEMP,ZN10_E05_TEMP,ZN10_E06_TEMP,ZN10_E07_TEMP,ZN10_E08_TEMP,ZN10_E09_TEMP,ZN10_E10_TEMP,ZN10_E11_TEMP,ZN10_E12_TEMP,ZN10_BOTTOM_TEMP,ZN11_E01_TEMP,ZN11_E02_TEMP,ZN11_E03_TEMP,ZN11_E04_TEMP,ZN11_E05_TEMP,ZN11_E06_TEMP,ZN11_E07_TEMP,ZN11_E08_TEMP,ZN11_E09_TEMP,ZN11_E10_TEMP,ZN11_E11_TEMP,ZN11_E12_TEMP,ZN11_BOTTOM_TEMP,HUD Output Value,0.2,Class
248150922,05.11.2021 06:46,05.11.2021 06:49,524.7,499.1,536.5,510.1,547.3,514.9,567,535,594.8,556.6,630.1,600.3,635.1,633.1,634.8,634.2,660,664.9,650,637.9,635,632,631.9,636.9,651.9,671.8,680.9,682.9,631.9,659.9,665.1,650,637.9,635,631.9,632,636.9,652,672,681,682.9,632,660,665,650,638,635,632.1,632,636.9,652.1,672,681.2,683.2,632,0.15,TRUE,1
248159643,05.11.2021 08:55,05.11.2021 08:58,524.9,499.3,536.9,510.3,547.4,514.9,566.5,534.9,595.5,556.3,630,600.5,635.2,633,635,634.2,660,665,650,638,635,632,632,637.1,652,672,681,683.1,632,660,665.1,650.2,638.1,635.1,632.3,632.2,637,652.1,672.1,681.1,683,631.9,660,665,650,638,635,631.9,632,637,652,672,680.9,682.9,631.9,0.17,TRUE,1
248159732,05.11.2021 08:56,05.11.2021 08:59,524.1,499.6,537.1,510,547.2,514.9,567.3,535.1,594.4,556.2,629.9,600.4,635.2,633,635,634.1,660,664.9,649.9,637.9,634.9,631.9,631.9,637,652,672,681,682.9,632,660,665,650.2,638,635,632,631.9,637.1,652,672.1,681.1,683,632,660,665,650.1,638.1,635.1,632.1,632,637.1,652.1,672,681.2,683.2,632,0.48,FALSE,0
248159793,05.11.2021 08:57,05.11.2021 09:00,524.3,499.2,537.1,509.8,547.2,514.8,567.1,535,594.5,556.1,630,600.4,635,633.1,634.9,633.9,660.1,665.1,650,637.9,635,631.9,632,637.1,652,672,681,682.9,632,659.9,665,649.6,637.9,635,632.1,632.7,637,651.9,671.8,681,683,636.1,659.9,665,650,638,634.9,631.9,632,637,652.1,672,681,683,636.1,0.29,FALSE,0
248159915,05.11.2021 08:59,05.11.2021 09:02,524.8,499.7,537.1,509.9,547.2,514.9,566.9,534.9,594.7,556,630.3,600.3,635,633,634.9,634.1,660,665.1,650,638,635,632,631.9,636.9,652,672,681.1,683.1,631.9,660.2,665,650,637.9,635,632,631.9,636.8,651.5,671.6,680.8,683,635.9,659.9,665,650,638,635.1,632.1,632.1,636.8,652,672,680.9,682.9,635.9,0.39,FALSE,0
248159948,05.11.2021 08:59,05.11.2021 09:02,524.3,499.9,536.8,509.9,547.2,514.9,567,535,595.2,556.2,630.1,600.3,635.4,633.1,635,634.2,659.9,665,649.9,637.9,634.9,631.9,632,637,652.1,672,681.1,683.2,631.9,660,665,649.9,638,634.9,631.8,631.9,636.7,651.8,671.8,680.9,683,635.5,660.1,665,650,638,635,632,631.9,636.7,652,672,681,683,635.5,0.26,FALSE,0
248160265,05.11.2021 09:00,05.11.2021 09:03,524.2,499.5,537.2,510,547.3,515.1,567,535.1,595,556.1,629.9,600.3,635.2,633.2,634.9,634.2,659.9,664.9,650.1,638.1,635,632,632,637,651.9,672,681,683.1,632.1,659.8,664.8,649.7,637.8,634.9,631.9,632,636.7,651.9,671.8,680.9,682.9,634.8,660,665,649.9,638,635,632,631.9,636.7,651.9,671.9,680.9,682.8,634.8,0.33,FALSE,0
248160293,05.11.2021 09:01,05.11.2021 09:04,524.9,499.5,536.7,510,547.3,515,566.9,535.1,595,556.2,630.2,600.4,635.3,633.2,635.1,634.1,659.9,664.9,649.9,638,635,631.9,632,637,652,672,681,682.9,632.1,659.8,665,649.9,637.8,634.8,631.8,632,636.7,651.8,671.7,681,683,634.9,660.1,665,650,637.9,635,632,632,636.7,652.1,671.9,680.9,683,634.9,0.31,FALSE,0
248160326,05.11.2021 09:01,05.11.2021 09:04,524.8,499.5,537,510,547.3,515.1,567.1,535.1,595,556.1,629.8,600.4,635,633.2,634.7,633.9,660,665,650,638,635,631.9,631.9,636.9,651.9,672,681,683,632.2,659.8,664.9,649.7,637.8,634.8,631.7,631.9,636.6,651.6,671.6,680.9,682.9,634.7,660.1,665,650.1,638,635.1,632.1,632,636.6,651.9,672,681,683.1,634.7,0.1,TRUE,1
248160354,05.11.2021 09:02,05.11.2021 09:05,524.1,499.2,536.9,510.1,547.3,515.2,566.8,535,594.9,556.1,630.2,600.5,635.1,633.4,635.2,634,660.1,665.1,650.1,638,635,632,632,637,651.9,672,681,682.9,632,659.9,664.9,649.8,637.8,634.9,631.8,631.8,636.7,651.7,671.7,680.9,682.9,634.6,660,665,650,638,635,631.9,632,636.7,652,672,681,683.1,634.6,0.34,FALSE,0
248160387,05.11.2021 09:02,05.11.2021 09:05,524.9,499.3,536.5,510.1,547.3,515.1,567.1,535,594.9,556.1,629.9,600.4,635,633.3,634.8,634,660.1,665,650,638,635,632,632,637.1,651.9,672,681,682.9,631.9,659.9,664.9,649.9,637.8,634.9,631.9,631.8,636.7,651.7,671.7,680.9,682.8,634.5,660,665,650.1,638,635.1,632.1,632.1,636.7,651.9,672,681.1,683.1,634.5,0.37,FALSE,0
