ScanDateTimeGlasses,Gap,ScanDateTimeFurnace,LineSpeed,ZN01_TOP_Temp,ZN01_BOTTOM_TEMP,ZN01_TOP_OUTPUT,ZN01_BOTTOM_OUTPUT,ZN02_TOP_Temp,ZN02_BOTTOM_TEMP,ZN02_TOP_OUTPUT,ZN02_BOTTOM_OUTPUT,ZN03_TOP_Temp,ZN03_BOTTOM_TEMP,ZN03_TOP_OUTPUT,ZN03_BOTTOM_OUTPUT,ZN04_TOP_Temp,ZN04_BOTTOM_TEMP,ZN04_TOP_OUTPUT,ZN04_BOTTOM_OUTPUT,ZN05_TOP_Temp,ZN05_BOTTOM_TEMP,ZN05_TOP_OUTPUT,ZN05_BOTTOM_OUTPUT,ZN06_TOP_Temp,ZN06_BOTTOM_TEMP,ZN06_TOP_OUTPUT,ZN06_BOTTOM_OUTPUT,ZN07_TOP_Temp,ZN07_BOTTOM_TEMP,ZN07_TOP_OUTPUT,ZN07_BOTTOM_OUTPUT,ZN08_TOP_Temp,ZN08_BOTTOM_TEMP,ZN08_TOP_OUTPUT,ZN08_BOTTOM_OUTPUT,ZN09_E01_TEMP,ZN09_E02_TEMP,ZN09_E03_TEMP,ZN09_E04_TEMP,ZN09_E05_TEMP,ZN09_E06_TEMP,ZN09_E07_TEMP,ZN09_E08_TEMP,ZN09_E09_TEMP,ZN09_E10_TEMP,ZN09_E11_TEMP,ZN09_E12_TEMP,ZN09_BOTTOM_TEMP,ZN09_BOTTOM_OUTPUT,ZN10_E01_TEMP,ZN10_E02_TEMP,ZN10_E03_TEMP,ZN10_E04_TEMP,ZN10_E05_TEMP,ZN10_E06_TEMP,ZN10_E07_TEMP,ZN10_E08_TEMP,ZN10_E09_TEMP,ZN10_E10_TEMP,ZN10_E11_TEMP,ZN10_E12_TEMP,ZN10_BOTTOM_TEMP,ZN10_BOTTOM_OUTPUT,ZN11_E01_TEMP,ZN11_E02_TEMP,ZN11_E03_TEMP,ZN11_E04_TEMP,ZN11_E05_TEMP,ZN11_E06_TEMP,ZN11_E07_TEMP,ZN11_E08_TEMP,ZN11_E09_TEMP,ZN11_E10_TEMP,ZN11_E11_TEMP,ZN11_E12_TEMP,ZN11_BOTTOM_TEMP,ZN11_BOTTOM_OUTPUT,ScanDateTimePress,PressPos_IG,PressPos_OG,ScanDateTimeAirFloat,Temp_Stage1_Element1,Temp_Stage1_Element2,Temp_Stage1_Element3,Temp_Stage1_Element4,Temp_Stage1_Output,Temp_Stage2_Element1,Temp_Stage2_Element2,Temp_Stage2_Element3,Temp_Stage2_Element4,Temp_Stage2_Output,AirPressure_In,AirPressure_Out,ScanDateTimeResistance,GlasTemperature,Resistance1,Resistance2,ScanDateTimeRaytek,Max1Press,Min1Press,Max2Press,Min2Press,Max3Press,Min3Press,Max4Press,Min4Press,Max5Press,Min5Press,Max6Press,Min6Press,Max7Press,Min7Press,Max8Press,Min8Press,Max9Press,Min9Press,MaxRefPress,MinRefPress,Max1Shuttle,Min1Shuttle,Max2Shuttle,Min2Shuttle,Max3Shuttle,Min3Shuttle,Max4Shuttle,Min4Shuttle,Max5Shuttle,Min5Shuttle,Max6Shuttle,Min6Shuttle,Max7Shuttle,Min7Shuttle,Max8Shuttle,Min8Shuttle,Max9Shuttle,Min9Shuttle,MaxRefShuttle,MinRefShuttle,GlassID1 2,TimeID,HUD Value,Classification,
05.11.2021 06:46,14,05.11.2021 06:49,166,524.7,499.1,34.1,77.5,536.5,510.1,43.7,15.8,547.3,514.9,43.9,9.1,567,535,27.3,9.2,594.8,556.6,28.9,0,630.1,600.3,28.8,4.3,635.1,633.1,13,23.7,634.8,634.2,12.7,21,660,664.9,650,637.9,635,632,631.9,636.9,651.9,671.8,680.9,682.9,631.9,12.1,659.9,665.1,650,637.9,635,631.9,632,636.9,652,672,681,682.9,632,4.1,660,665,650,638,635,632.1,632,636.9,652.1,672,681.2,683.2,632,0,05.11.2021 06:49,577.8,577.8,05.11.2021 06:49,472.5,472.5,604.2,604,487.2,773.8,773.4,801.9,801.5,715.7,82,79,05.11.2021 06:52,35.04,9.66,0.72,05.11.2021 06:50,620.7,615.4,619.3,612.4,615,610.3,620.5,617.8,616.3,611.9,615,612.9,624.9,620.8,618.9,614.3,618.5,615,558.1,537.7,620.7,615.4,619.3,612.4,615,610.3,620.5,617.8,616.3,611.9,615,612.9,624.9,620.8,618.9,614.3,618.5,615,558.1,537.7,248150922,5.11.2021 07:46,0.15,1,
05.11.2021 08:55,14,05.11.2021 08:58,166,524.9,499.3,32.6,75.8,536.9,510.3,42.7,14.7,547.4,514.9,46.3,9.7,566.5,534.9,34.4,12.2,595.5,556.3,24.4,0,630,600.5,31,2.4,635.2,633,11.3,25,635,634.2,10.4,22,660,665,650,638,635,632,632,637.1,652,672,681,683.1,632,12.6,660,665.1,650.2,638.1,635.1,632.3,632.2,637,652.1,672.1,681.1,683,631.9,4.9,660,665,650,638,635,631.9,632,637,652,672,680.9,682.9,631.9,0,05.11.2021 08:58,578,578,05.11.2021 08:58,477.7,477.8,603.3,603.1,488.6,766.5,766.1,801.1,800.8,712.4,82,79,05.11.2021 09:01,34.4,9.72,0.74,05.11.2021 08:58,624.1,619.7,623.4,616.1,618.2,613.7,623.1,619.1,619.3,616,619.6,617,627.6,621.9,620,617,621.8,618.1,558.9,536.6,624.1,619.7,623.4,616.1,618.2,613.7,623.1,619.1,619.3,616,619.6,617,627.6,621.9,620,617,621.8,618.1,558.9,536.6,248159643,5.11.2021 09:54,0.17,1,
05.11.2021 08:56,14,05.11.2021 08:59,166,524.1,499.6,0,73.2,537.1,510,40.8,17.3,547.2,514.9,48.1,9.6,567.3,535.1,26.7,10.2,594.4,556.2,34.6,0,629.9,600.4,32,3.1,635.2,633,11.3,25.2,635,634.1,10.4,22.9,660,664.9,649.9,637.9,634.9,631.9,631.9,637,652,672,681,682.9,632,12.7,660,665,650.2,638,635,632,631.9,637.1,652,672.1,681.1,683,632,4,660,665,650.1,638.1,635.1,632.1,632,637.1,652.1,672,681.2,683.2,632,0,05.11.2021 08:59,578,578,05.11.2021 08:59,474,474.1,600.4,600.1,487.8,765.5,765.1,800.6,800.3,712.9,81,79,05.11.2021 09:03,34.4,9.71,0.74,05.11.2021 09:00,622,617.2,620.9,614.6,616.1,611,622.4,620.1,618.2,614.8,616.5,612.8,627.2,622.8,620.4,616.4,621,615.2,558.9,538.5,622,617.2,620.9,614.6,616.1,611,622.4,620.1,618.2,614.8,616.5,612.8,627.2,622.8,620.4,616.4,621,615.2,558.9,538.5,248159732,5.11.2021 09:55,0.48,0,
05.11.2021 08:57,15,05.11.2021 09:00,166,524.3,499.2,38.7,77.3,537.1,509.8,40.7,19.4,547.2,514.8,48,10.7,567.1,535,28.5,11.1,594.5,556.1,33.7,0,630,600.4,31.1,3.1,635,633.1,13.2,24.4,634.9,633.9,11.4,24.8,660.1,665.1,650,637.9,635,631.9,632,637.1,652,672,681,682.9,632,12.7,659.9,665,649.6,637.9,635,632.1,632.7,637,651.9,671.8,681,683,636.1,0,659.9,665,650,638,634.9,631.9,632,637,652.1,672,681,683,636.1,0,05.11.2021 09:00,578,578,05.11.2021 09:00,479.1,479.2,605.7,605.5,488.2,768.9,768.5,801.7,801.3,713.7,81,79,05.11.2021 09:03,34.62,9.79,0.75,05.11.2021 09:01,622.4,618,621.8,613.4,616.5,611.3,621.7,618.6,618.1,613.7,616.2,612.6,626.4,622,620.2,615.9,619.4,615.4,562.1,539,622.4,618,621.8,613.4,616.5,611.3,621.7,618.6,618.1,613.7,616.2,612.6,626.4,622,620.2,615.9,619.4,615.4,562.1,539,248159793,5.11.2021 09:56,0.29,0,
05.11.2021 08:59,14,05.11.2021 09:02,166,524.8,499.7,33.7,73.4,537.1,509.9,40.5,18.9,547.2,514.9,48,10.1,566.9,534.9,30.3,12,594.7,556,31.9,0,630.3,600.3,28.3,4,635,633,13.2,25.4,634.9,634.1,11.5,23.1,660,665.1,650,638,635,632,631.9,636.9,652,672,681.1,683.1,631.9,13.9,660.2,665,650,637.9,635,632,631.9,636.8,651.5,671.6,680.8,683,635.9,0,659.9,665,650,638,635.1,632.1,632.1,636.8,652,672,680.9,682.9,635.9,0,05.11.2021 09:02,578,578,05.11.2021 09:02,475.5,475.5,602.1,602,488.3,767.6,767.2,801,800.7,713,81,79,05.11.2021 09:05,34.52,9.4,0.71,05.11.2021 09:03,623,617.5,622.9,615.6,615.3,610.7,620.4,618.5,618,614.3,616.1,613.5,625.9,621.7,620.1,616.1,619.3,616.1,560.9,536.8,623,617.5,622.9,615.6,615.3,610.7,620.4,618.5,618,614.3,616.1,613.5,625.9,621.7,620.1,616.1,619.3,616.1,560.9,536.8,248159915,5.11.2021 09:58,0.39,0,
05.11.2021 08:59,14,05.11.2021 09:02,166,524.3,499.9,38.4,71.5,536.8,509.9,43.4,19,547.2,514.9,47.9,10.1,567,535,29.4,11,595.2,556.2,27.2,0,630.1,600.3,30.2,4,635.4,633.1,9.5,24.5,635,634.2,10.5,22.1,659.9,665,649.9,637.9,634.9,631.9,632,637,652.1,672,681.1,683.2,631.9,14,660,665,649.9,638,634.9,631.8,631.9,636.7,651.8,671.8,680.9,683,635.5,0,660.1,665,650,638,635,632,631.9,636.7,652,672,681,683,635.5,0,05.11.2021 09:02,578,578,05.11.2021 09:03,474.1,474.3,601.2,601,488.3,769.7,769.3,801.7,801.3,714,82,79,05.11.2021 09:05,34.82,9.59,0.73,05.11.2021 09:03,622.7,617.8,621.3,614.6,616.1,611.8,622.6,620.2,618.5,614.4,617.4,613.7,627,622.5,620.5,616,621.1,617.2,561.5,537,622.7,617.8,621.3,614.6,616.1,611.8,622.6,620.2,618.5,614.4,617.4,613.7,627,622.5,620.5,616,621.1,617.2,561.5,537,248159948,5.11.2021 09:59,0.26,0,
05.11.2021 09:00,14,05.11.2021 09:03,166,524.2,499.5,39.3,75.1,537.2,510,39.5,18,547.3,515.1,46.9,8.2,567,535.1,29.4,10,595,556.1,29.1,0,629.9,600.3,32,4,635.2,633.2,11.4,23.6,634.9,634.2,11.5,22,659.9,664.9,650.1,638.1,635,632,632,637,651.9,672,681,683.1,632.1,12.1,659.8,664.8,649.7,637.8,634.9,631.9,632,636.7,651.9,671.8,680.9,682.9,634.8,0,660,665,649.9,638,635,632,631.9,636.7,651.9,671.9,680.9,682.8,634.8,22.9,05.11.2021 09:03,578,578,05.11.2021 09:03,475.7,475.8,603.5,603.3,487.8,766.8,766.5,800.6,800.2,713.5,82,79,05.11.2021 09:06,34.33,9.58,0.73,05.11.2021 09:04,622.6,617.5,621.3,615.6,616.2,611.3,622.2,619.6,617.8,614.9,615.7,612.2,626.4,621.7,619.8,615.9,619.8,614.2,559.3,537.2,622.6,617.5,621.3,615.6,616.2,611.3,622.2,619.6,617.8,614.9,615.7,612.2,626.4,621.7,619.8,615.9,619.8,614.2,559.3,537.2,248160265,5.11.2021 10:00,0.33,0,
05.11.2021 09:01,14,05.11.2021 09:04,166,524.9,499.5,32.7,75.2,536.7,510,44.1,18,547.3,515,46.8,9.1,566.9,535.1,30.2,9.9,595,556.2,29,0,630.2,600.4,29.2,3,635.3,633.2,10.5,23.6,635.1,634.1,9.6,22.9,659.9,664.9,649.9,638,635,631.9,632,637,652,672,681,682.9,632.1,12,659.8,665,649.9,637.8,634.8,631.8,632,636.7,651.8,671.7,681,683,634.9,0,660.1,665,650,637.9,635,632,632,636.7,652.1,671.9,680.9,683,634.9,44.2,05.11.2021 09:04,578,578,05.11.2021 09:04,476,476,603.5,603.3,488,766,765.6,800.3,800,713,82,79,05.11.2021 09:07,34.79,9.71,0.75,05.11.2021 09:04,621.9,617.2,622.6,613.9,615.7,611.6,620.3,617.8,618,613.5,616.6,614.2,626.1,622.1,620.1,614.1,620.4,617.3,557.3,537.8,621.9,617.2,622.6,613.9,615.7,611.6,620.3,617.8,618,613.5,616.6,614.2,626.1,622.1,620.1,614.1,620.4,617.3,557.3,537.8,248160293,5.11.2021 10:00,0.31,0,
05.11.2021 09:01,14,05.11.2021 09:04,166,524.8,499.5,33.6,75.3,537,510,41.2,18,547.3,515.1,46.8,8.1,567.1,535.1,28.3,9.8,595,556.1,29,0,629.8,600.4,33,3,635,633.2,13.3,23.5,634.7,633.9,13.4,24.8,660,665,650,638,635,631.9,631.9,636.9,651.9,672,681,683,632.2,11.1,659.8,664.9,649.7,637.8,634.8,631.7,631.9,636.6,651.6,671.6,680.9,682.9,634.7,0,660.1,665,650.1,638,635.1,632.1,632,636.6,651.9,672,681,683.1,634.7,19.7,05.11.2021 09:04,578,578,05.11.2021 09:04,475,475.1,602.6,602.4,488.4,770.1,769.8,801.7,801.4,714,82,79,05.11.2021 09:07,34.64,9.75,0.75,05.11.2021 09:05,621.8,616.4,620.2,614.3,615.9,610.9,621.6,618.7,617,613.5,615.8,612.6,627.4,622.3,619.9,615.9,619.9,615,558.2,536.9,621.8,616.4,620.2,614.3,615.9,610.9,621.6,618.7,617,613.5,615.8,612.6,627.4,622.3,619.9,615.9,619.9,615,558.2,536.9,248160326,5.11.2021 10:01,0.1,1,
05.11.2021 09:02,15,05.11.2021 09:05,166,524.1,499.2,40.3,78.4,536.9,510.1,42.2,17,547.3,515.2,46.8,7.1,566.8,535,31.1,10.7,594.9,556.1,29.9,0,630.2,600.5,29.2,2,635.1,633.4,12.4,21.6,635.2,634,8.7,24,660.1,665.1,650.1,638,635,632,632,637,651.9,672,681,682.9,632,12.9,659.9,664.9,649.8,637.8,634.9,631.8,631.8,636.7,651.7,671.7,680.9,682.9,634.6,0,660,665,650,638,635,631.9,632,636.7,652,672,681,683.1,634.6,0,05.11.2021 09:05,578,578,05.11.2021 09:05,473.9,474,601.7,601.5,488,769.9,769.5,801.6,801.2,714,82,79,05.11.2021 09:08,34.62,9.7,0.75,05.11.2021 09:05,622.6,617.5,621.1,617.3,616.1,610.7,622,619.6,618.6,615.3,617.6,613.3,627.3,622.9,620.4,617.2,621.9,617.4,560.7,540,622.6,617.5,621.1,617.3,616.1,610.7,622,619.6,618.6,615.3,617.6,613.3,627.3,622.9,620.4,617.2,621.9,617.4,560.7,540,248160354,5.11.2021 10:01,0.34,0,
